,symbol,date,value
0,A,20170720,1879.580497390389
1,A,20170721,2493.684047803523
2,A,20170724,2984.9926889920152
3,A,20170725,1333.7118634942462
4,A,20170726,1347.3694437380618
5,A,20170727,939.1511853588688
6,A,20170728,2582.7284886960038
7,A,20170731,3050.3883265270188
8,A,20170801,997.0909954765228
9,A,20170802,1544.1492691301667
10,A,20170803,2754.727287622016
11,A,20170804,1888.5102872985622
12,A,20170807,1355.5171061348449
13,A,20170808,1416.643553391294
14,A,20170809,1301.5624694169778
15,A,20170810,2149.1744449204994
16,A,20170811,1724.6305265504113
17,A,20170814,1375.2615602182098
18,A,20170815,1828.5156410205332
19,A,20170816,2882.0169754529884
20,A,20170817,1650.042504283384
21,A,20170818,1157.3566030894176
22,A,20170821,1436.2501654083471
23,A,20170822,1598.42285823687
24,A,20170823,1217.5754389219003
25,A,20170824,1586.1977497080802
26,A,20170825,5170.619420468272
27,A,20170828,1522.6228516448145
28,A,20170829,2197.8152428205667
29,A,20170830,2973.248128736037
30,A,20170831,2606.654146531931
31,A,20170901,860.5971931753882
32,A,20170905,1140.2071223264245
33,A,20170906,14140.172924534068
34,A,20170907,1240.3651840377568
35,A,20170908,3834.064774857491
36,A,20170911,2148.5345635657204
37,A,20170912,1942.9824755026837
38,A,20170913,2651.0012298887623
39,A,20170914,3307.578215193185
40,A,20170915,1682.7989300921724
41,A,20170918,10684.550828048003
42,A,20170919,1792.8311747395724
43,A,20170920,3584.708973326587
44,A,20170921,4621.973132141544
45,A,20170922,4348.817386931602
46,A,20170925,2024.112027910745
47,A,20170926,1410.6290319427367
48,A,20170927,1183.7210019340366
49,A,20170928,3108.245779754021
50,A,20170929,2484.3431849191643
51,A,20171002,1742.6380328583032
52,A,20171003,1439.5805150640592
53,A,20171004,2379.528852590868
54,A,20171005,1894.8126303029933
55,A,20171006,1290.5415448402894
56,A,20171009,831.0718157947977
57,A,20171010,3185.7767691991153
58,A,20171011,1368.236285142541
59,A,20171012,1134.526062374555
60,A,20171013,2953.5259657308384
61,A,20171016,1743.5850473419518
62,A,20171017,2343.9707666482227
63,A,20171018,1883.6787817390227
64,A,20171019,3238.056982932076
65,A,20171020,2330.9879302102536
66,A,20171023,3099.110985508091
67,A,20171024,2140.8133681234176
68,A,20171025,1076.5385836426644
69,A,20171026,1582.1158225945653
70,A,20171027,2889.09282327054
71,A,20171030,6097.896205055351
72,A,20171031,1752.5471549332055
73,A,20171101,1509.0995484649745
74,A,20171102,738.1396876771609
75,A,20171103,2241.838549221384
76,A,20171106,2991.707448388501
77,A,20171107,2430.2033778963864
78,A,20171108,2150.4773594012468
79,A,20171109,706.4093717108801
80,A,20171110,2052.614222869749
81,A,20171113,1089.756919967383
82,A,20171114,1348.6892498649806
83,A,20171115,3953.669892487053
84,A,20171116,1007.5594803665285
85,A,20171117,2685.102277934374
86,A,20171120,3102.2500044231256
87,A,20171121,1838.8779400516676
88,A,20171122,2349.285414599179
89,A,20171127,1363.604830248912
90,A,20171128,1598.5877434259432
91,A,20171129,2319.4928053101357
92,A,20171130,1190.5641206557048
93,A,20171201,1229.8350852239955
94,A,20171204,3038.468976229408
95,A,20171205,1091.0104599601839
96,A,20171206,5240.592946415707
97,A,20171207,1524.435895578284
98,A,20171208,1117.108206728881
99,A,20171211,2063.571328220498
100,A,20171212,2559.301808805021
101,A,20171213,2986.3059359771723
102,A,20171214,1733.6246066506103
103,A,20171215,1592.6510463699049
104,A,20171218,1017.2980808053985
105,A,20171219,1267.4884101463651
106,A,20171220,2194.527429876518
107,A,20171221,1841.7866684100748
108,A,20171222,1744.2462612157929
109,A,20171226,2444.44713259704
110,A,20171227,1538.1422139681893
111,A,20171228,12619.092968838211
112,AAL,20170720,3724.050680689657
113,AAL,20170721,692.1076027276508
114,AAL,20170724,1287.0048124808397
115,AAL,20170725,3100.52854718323
116,AAL,20170726,3003.3436135113902
117,AAL,20170727,1689.8252724078225
118,AAL,20170728,1853.8479392108873
119,AAL,20170731,2168.024726663044
120,AAL,20170801,3438.6233083004868
121,AAL,20170802,24389.659264652142
122,AAL,20170803,3935.0493840652616
123,AAL,20170804,2593.333914263493
124,AAL,20170807,1416.2033703694601
125,AAL,20170808,3040.0266059070495
126,AAL,20170809,3760.132786453765
127,AAL,20170810,1163.3627003902047
128,AAL,20170811,1003.0801982245617
129,AAL,20170814,4673.68301954441
130,AAL,20170815,1308.0393327379895
131,AAL,20170816,1960.2714277140694
132,AAL,20170817,3283.5805319909896
133,AAL,20170818,2735.5647984208886
134,AAL,20170821,3010.2280991798575
135,AAL,20170822,779.2425989911969
136,AAL,20170823,2406.025029024482
137,AAL,20170824,5179.66875264259
138,AAL,20170825,2265.366912958365
139,AAL,20170828,7515.276000153516
140,AAL,20170829,1465.3896872410037
141,AAL,20170830,2768.9727538000734
142,AAL,20170831,1750.5678641925972
143,AAL,20170901,2660.3095669671748
144,AAL,20170905,1485.727713166245
145,AAL,20170906,3391.7315160549583
146,AAL,20170907,1469.7440546681755
147,AAL,20170908,1048.3057865623646
148,AAL,20170911,2016.119465812493
149,AAL,20170912,722.3893721485088
150,AAL,20170913,2064.5528025573835
151,AAL,20170914,1424.4519664255038
152,AAL,20170915,1066.1181430574484
153,AAL,20170918,3305.582354376246
154,AAL,20170919,4509.553014284241
155,AAL,20170920,2125.1131252191717
156,AAL,20170921,1871.9880941146218
157,AAL,20170922,932.0009035737504
158,AAL,20170925,4222.545743772341
159,AAL,20170926,971.6835891934968
160,AAL,20170927,1951.430784271914
161,AAL,20170928,2391.603968226873
162,AAL,20170929,1229.8035864682874
163,AAL,20171002,1034.4788685646292
164,AAL,20171003,1011.8929024969998
165,AAL,20171004,2109.8115568693893
166,AAL,20171005,1121.6697570088875
167,AAL,20171006,1864.5863974214496
168,AAL,20171009,2970.9027643513223
169,AAL,20171010,1594.229153588989
170,AAL,20171011,3318.822806414647
171,AAL,20171012,2454.303410678791
172,AAL,20171013,1139.4400350951646
173,AAL,20171016,1642.0943973229257
174,AAL,20171017,2511.5998109860416
175,AAL,20171018,1379.9605696743945
176,AAL,20171019,2176.9590118337806
177,AAL,20171020,2614.8649373719813
178,AAL,20171023,1334.4557493136401
179,AAL,20171024,8576.59510583856
180,AAL,20171025,1855.7983298673103
181,AAL,20171026,3303.492319429293
182,AAL,20171027,3050.5927698023293
183,AAL,20171030,2564.0041787712225
184,AAL,20171031,2009.3018502086559
185,AAL,20171101,2371.048532302474
186,AAL,20171102,2482.062226441816
187,AAL,20171103,1912.8840847920392
188,AAL,20171106,3860.8632096708534
189,AAL,20171107,4874.135364116448
190,AAL,20171108,8753.89773800585
191,AAL,20171109,1066.7579599927992
192,AAL,20171110,2129.425084348548
193,AAL,20171113,1189.7926916932333
194,AAL,20171114,2971.4766011226866
195,AAL,20171115,4542.646186971568
196,AAL,20171116,1441.7515886238975
197,AAL,20171117,1337.3623739106783
198,AAL,20171120,1839.735631604005
199,AAL,20171121,9709.492297798168
200,AAL,20171122,1373.0809795704326
201,AAL,20171127,3180.09943572496
202,AAL,20171128,6255.778237860703
203,AAL,20171129,10516.739849000962
204,AAL,20171130,840.9283189015533
205,AAL,20171201,1534.2082670065959
206,AAL,20171204,1600.6323471573437
207,AAL,20171205,3437.6598403930557
208,AAL,20171206,1828.3723083757473
209,AAL,20171207,799.5976893916685
210,AAL,20171208,1115.4940573852598
211,AAL,20171211,1643.4567069545624
212,AAL,20171212,9060.845884915874
213,AAL,20171213,2720.6536870964187
214,AAL,20171214,1704.1598653126882
215,AAL,20171215,3848.761577620532
216,AAL,20171218,1285.423446873529
217,AAL,20171219,2098.2030791122847
218,AAL,20171220,2419.6950019861692
219,AAL,20171221,1875.867576780974
220,AAL,20171222,11355.518515401664
221,AAL,20171226,1698.9920331900407
222,AAL,20171227,2416.0562882466447
223,AAL,20171228,2882.4861671811423
224,AAP,20170720,2260.0568772369943
225,AAP,20170721,2400.774721480167
226,AAP,20170724,1378.8387341994605
227,AAP,20170725,2517.704202907649
228,AAP,20170726,5982.154127543998
229,AAP,20170727,1880.222513415149
230,AAP,20170728,1459.8825375199344
231,AAP,20170731,1000.8933495016091
232,AAP,20170801,2211.8216000362486
233,AAP,20170802,678.1142949975778
234,AAP,20170803,813.9802114769439
235,AAP,20170804,1095.3688552527658
236,AAP,20170807,2576.5725171037852
237,AAP,20170808,1643.8293339919574
238,AAP,20170809,3688.7311827427743
239,AAP,20170810,2270.504879497345
240,AAP,20170811,1048.1813219418073
241,AAP,20170814,9046.376861539537
242,AAP,20170815,12391.23455802876
243,AAP,20170816,2239.8834936542585
244,AAP,20170817,2341.334295201683
245,AAP,20170818,2304.58135085784
246,AAP,20170821,2642.452858146546
247,AAP,20170822,2184.4740944220225
248,AAP,20170823,1829.2103246633292
249,AAP,20170824,2920.1333654142973
250,AAP,20170825,1259.6339120985897
251,AAP,20170828,3908.689181393778
252,AAP,20170829,3554.4006892945126
253,AAP,20170830,1208.0671278805953
254,AAP,20170831,979.8085361097294
255,AAP,20170901,1745.21290950541
