,symbol,date,value
0,A,20170720,-0.05090139389205062
1,A,20170721,-0.05934033173111697
2,A,20170724,-0.04740886117751808
3,A,20170725,-0.05646034186141935
4,A,20170726,-0.025535520568759518
5,A,20170727,-0.05387227417231499
6,A,20170728,-0.03577142539466749
7,A,20170731,-0.05564889605454271
8,A,20170801,-0.04515458983286802
9,A,20170802,-0.04105781956249266
10,A,20170803,-0.08870903082256065
11,A,20170804,-0.06540103771152683
12,A,20170807,-0.039742362507779294
13,A,20170808,-0.08739924797392495
14,A,20170809,-0.02784576329884647
15,A,20170810,-0.10276423870008333
16,A,20170811,-0.029334699602617365
17,A,20170814,-0.04249598586920955
18,A,20170815,-0.1096294989313722
19,A,20170816,-0.004737644426980436
20,A,20170817,-0.05358704330489017
21,A,20170818,-0.03412477842589556
22,A,20170821,-0.04481665873645091
23,A,20170822,-0.023627388204400246
24,A,20170823,-0.03708506455556648
25,A,20170824,-0.043620687937360625
26,A,20170825,-0.08941803685739291
27,A,20170828,-0.02991450775626836
28,A,20170829,-0.07316792878018252
29,A,20170830,-0.08200023715388438
30,A,20170831,-0.07515453113168635
31,A,20170901,-0.031069818827792917
32,A,20170905,-0.007726368624307645
33,A,20170906,-0.04922532041237271
34,A,20170907,-0.08402653786563574
35,A,20170908,-0.05239374817673248
36,A,20170911,-0.0229756922824067
37,A,20170912,-0.07570350820681493
38,A,20170913,-0.037600345563972626
39,A,20170914,-0.07587422567683455
40,A,20170915,-0.04634926914942872
41,A,20170918,-0.08384402987010553
42,A,20170919,-0.08552072014315759
43,A,20170920,-0.06245320102036511
44,A,20170921,-0.05593726726524362
45,A,20170922,-0.08602663352837325
46,A,20170925,-0.03411578384903624
47,A,20170926,-0.07109039794628846
48,A,20170927,-0.0229979957330535
49,A,20170928,-0.06000397965422821
50,A,20170929,-0.07580607590219368
51,A,20171002,-0.07710296482236689
52,A,20171003,-0.03544770443902756
53,A,20171004,-0.07774471369871727
54,A,20171005,-0.06876108430326155
55,A,20171006,-0.013877763639421836
56,A,20171009,-0.030276991901944772
57,A,20171010,-0.038396879338918666
58,A,20171011,-0.06472767330417284
59,A,20171012,-0.024243231853003255
60,A,20171013,-0.05642327956545179
61,A,20171016,-0.09316292966345818
62,A,20171017,-0.048179290595551816
63,A,20171018,-0.07467160135783746
64,A,20171019,-0.08699287509425657
65,A,20171020,-0.046801858538653374
66,A,20171023,-0.0562281638563229
67,A,20171024,-0.061569168136394126
68,A,20171025,-0.007995750304437
69,A,20171026,-0.07602052945590443
70,A,20171027,-0.039201943897371194
71,A,20171030,-0.05442752845095322
72,A,20171031,-0.05736945488311962
73,A,20171101,-0.02842833145728263
74,A,20171102,-0.03974106249722209
75,A,20171103,-0.09314608802954338
76,A,20171106,-0.05491330658578142
77,A,20171107,-0.041266377136072396
78,A,20171108,-0.03245020093120354
79,A,20171109,-0.05004445767224075
80,A,20171110,-0.08675019876433465
81,A,20171113,-0.030743174970792042
82,A,20171114,-0.028814248756346084
83,A,20171115,-0.05718289878923688
84,A,20171116,-0.02583752082650892
85,A,20171117,-0.063204553400378
86,A,20171120,-0.10744733220352143
87,A,20171121,-6.648813324772185e-05
88,A,20171122,-0.026110137912616294
89,A,20171127,-0.04054980358917337
90,A,20171128,-0.03873965500688703
91,A,20171129,-0.05175621232113348
92,A,20171130,-0.030969235303787368
93,A,20171201,-0.038453348544843946
94,A,20171204,-0.050768638983121894
95,A,20171205,-0.02993176182284163
96,A,20171206,-0.0671070618495262
97,A,20171207,-0.07301993875868829
98,A,20171208,-0.047594816040157584
99,A,20171211,-0.03974992431590052
100,A,20171212,-0.07324020691997801
101,A,20171213,-0.04771520773255844
