date	bin	turnover	price
20170712	24	15994.5	609161.2733131531
20170712	25	15828.5	608378.5797168716
20170712	26	24048.0	607335.900110443
20170713	1	12752.0	609912.5
20170713	2	13966.5	609065.5737704918
20170713	3	32558.5	608630.8072487644
20170713	4	21346.5	608399.7517290299
20170713	5	11962.0	608809.0046604527
20170713	6	13302.0	610242.6166514182
20170713	7	15959.0	611421.5442304414
20170713	8	9303.0	611818.5916002897
20170713	9	10457.5	611949.6560350219
20170713	10	9118.5	612061.6794795978
20170713	11	6894.5	611274.2029662501
20170713	12	9107.5	610623.6451836452
20170713	13	14793.0	611070.0258397933
20170713	14	7065.0	611370.2290076336
20170713	15	12558.5	611123.5028758318
20170713	16	16051.0	611117.4471992654
20170713	17	18142.5	611056.1973193312
20170713	18	12745.5	610693.9536446086
20170713	19	14829.0	610315.8094988192
20170713	20	14486.5	610650.9828471266
20170713	21	13198.5	611192.2347468241
20170713	22	12638.5	611767.0753064798
20170713	23	12298.0	612284.5757692803
20170713	24	10409.5	612729.4440093971
20170713	25	20231.5	612367.3935464859
20170713	26	32232.0	612479.0265630941
20170714	1	9322.0	612027.2850740188
20170714	2	4447.5	612290.3254972876
20170714	3	5768.5	611629.5621202597
20170714	4	6316.5	611738.3147208121
20170714	5	6994.0	611120.9149130833
20170714	6	4827.0	610470.080290865
20170714	7	6960.0	610935.4813297621
20170714	8	12347.5	610230.6234413965
20170714	9	10515.5	609896.5582340981
20170714	10	10709.0	610148.6828774062
20170714	11	3170.0	609922.1928397071
20170714	12	11080.5	610350.7281883762
20170714	13	5068.0	611601.8046357615
20170714	14	8221.5	611995.2037132543
20170714	15	6817.0	612666.804589054
20170714	16	6385.0	612697.3328527663
20170714	17	11766.0	613038.8387484958
20170714	18	5979.0	613253.0590557158
20170714	19	10756.5	613854.1582522489
20170714	20	9442.5	614920.4462326262
20170714	21	11860.0	615091.8039538715
20170714	22	6246.0	615044.0365405959
20170714	23	20933.0	615069.2271772122
20170714	24	23383.5	616056.265434053
20170714	25	33366.5	616361.5416451113
20170714	26	24381.0	615447.0869811678
20170717	1	9848.0	614980.1199345811
20170717	2	9315.5	615612.2119815669
20170717	3	6674.0	616164.0103567318
20170717	4	7887.0	616233.6804786173
20170717	5	11744.0	616712.5656808288
20170717	6	6905.0	617605.3023465704
20170717	7	9632.5	617602.9993751302
20170717	8	4165.0	616235.0413223141
20170717	9	3177.0	615978.3373301359
20170717	10	6702.0	616148.4039087947
20170717	11	6753.0	616115.0199483689
20170717	12	7727.0	616061.6345467523
20170717	13	6400.5	616541.2740427033
20170717	14	5421.0	616930.5167724388
20170717	15	5586.0	617180.8679706601
20170717	16	4365.5	617667.7532876459
20170717	17	6088.5	617644.5328785295
20170717	18	8581.0	617245.4520697168
20170717	19	7013.5	616916.6115051222
20170717	20	15845.0	617173.2151117965
20170717	21	8044.5	616797.7620933035
20170717	22	5672.5	617035.9608959287
20170717	23	8523.0	616949.1846577859
20170717	24	7871.5	616417.4183873573
20170717	25	13145.5	616565.4431512981
20170717	26	24218.0	615911.3845794938
20170718	1	6600.0	612798.1349424026
20170718	2	14225.0	614130.4606240713
20170718	3	9419.0	613878.7095418243
20170718	4	9542.0	613900.2365356623
20170718	5	18834.5	611190.6676928997
20170718	6	24978.5	610253.7572254335
20170718	7	15832.0	610548.849797023
20170718	8	16729.0	609960.524215008
20170718	9	8927.0	611191.2248009486
20170718	10	22371.0	612029.4664708761
20170718	11	7462.0	611666.218925421
20170718	12	9536.5	611272.1731448764
20170718	13	8071.0	611485.4367026497
20170718	14	5660.0	610892.0323142721
20170718	15	17552.0	610348.1525025193
20170718	16	6913.0	610714.8409314529
20170718	17	6362.0	610615.1758173967
20170718	18	11976.0	610571.238171398
20170718	19	6726.0	610592.8327997521
20170718	20	12776.0	610622.8927002719
20170718	21	11249.5	610956.9545154911
20170718	22	16435.0	611295.7014740749
