date	bin	turnover	price
20170705	1	31547.0	506441.9660014782
20170705	2	33471.5	505037.6110260337
20170705	3	44252.0	503684.0311058866
20170705	4	41824.5	503533.5199440168
20170705	5	44119.0	502867.3728813559
20170705	6	43511.0	503074.7531626041
20170705	7	28347.0	504028.82579025807
20170705	8	28987.5	504987.32094622246
20170705	9	20476.5	505168.43049327354
20170705	10	13598.5	505616.98534889496
20170705	11	20052.5	505429.46061572013
20170705	12	18780.0	505800.84019903746
20170705	13	39068.0	507375.01992666983
20170705	14	20582.5	508683.66104868916
20170705	15	41831.5	509698.9645866608
20170705	16	47166.0	512019.399910933
20170705	17	37334.0	512084.430909783
20170705	18	32704.5	512193.2292405962
20170705	19	50440.5	512716.4973175094
20170705	20	50834.5	513540.51927221694
20170705	21	97527.5	514772.15105312795
20170705	22	79547.5	514009.74029091257
20170705	23	37101.0	511449.7566525504
20170705	24	30403.5	511485.04295892705
20170705	25	40840.0	511986.9024045262
20170705	26	197914.5	512595.7443820225
20170706	1	141250.0	515172.6404494382
20170706	2	67567.0	513732.1991701245
20170706	3	80775.0	513310.24273139506
20170706	4	65217.0	514817.4773999139
20170706	5	36425.0	515316.63246359816
20170706	6	45271.0	516692.3129584352
20170706	7	61546.0	516946.60916121356
20170706	8	43048.0	517358.83025649405
20170706	9	157319.5	520146.8118775016
20170706	10	31185.0	519906.5830721003
20170706	11	37457.0	520064.22441051586
20170706	12	42865.5	519963.20445837686
20170706	13	52505.0	519604.5503433441
20170706	14	21859.5	519522.6037089447
20170706	15	34497.0	519235.61090541905
20170706	16	36888.5	519432.4663809665
20170706	17	67358.0	520532.3130181288
20170706	18	104252.0	522418.6228160329
20170706	19	95716.0	523516.0055325035
20170706	20	144439.0	524984.8839464667
20170706	21	72871.0	522501.77889132476
20170706	22	51893.0	521895.70337364735
20170706	23	66948.0	521222.13856300706
20170706	24	56064.0	519756.6614099644
20170706	25	111785.0	519532.55716142844
20170706	26	260605.0	520148.2099209202
20170707	1	77282.0	525002.0992652571
20170707	2	146721.0	528533.1916060897
20170707	3	69830.0	528422.7167630058
20170707	4	45212.0	529092.4429056528
20170707	5	103448.0	530551.9559437904
20170707	6	40319.0	529254.4911173834
20170707	7	42599.0	528340.5429782629
20170707	8	52877.0	528721.7611988399
20170707	9	58574.0	531205.4540820661
20170707	10	38642.0	531216.9395551917
20170707	11	29869.0	530553.0834157098
20170707	12	47298.0	530758.9783281734
20170707	13	34180.5	531514.9303472639
20170707	14	37658.0	532168.8781215057
20170707	15	40379.0	533164.7857003066
20170707	16	30225.0	532884.9647728977
20170707	17	32615.0	532751.0322961215
20170707	18	38581.0	531335.4719188767
20170707	19	35025.0	529907.4993852963
20170707	20	37607.0	530387.7182770664
20170707	21	33712.0	531322.6956302944
20170707	22	25472.0	531601.3211217377
20170707	23	28342.0	530884.3488493724
20170707	24	37566.0	531302.6214541898
20170707	25	61129.0	531292.0628734736
20170707	26	206097.0	530330.3386902581
20170710	1	80202.5	529226.9176882663
20170710	2	35353.0	529962.0957309185
20170710	3	53265.0	528368.3397683398
20170710	4	52923.0	528309.3961898611
20170710	5	40069.0	527169.865410498
20170710	6	89984.0	524916.8323936443
20170710	7	35827.0	523374.7357685889
20170710	8	32069.0	523905.71858540253
20170710	9	42576.5	525174.2730657008
20170710	10	14410.5	523719.98520162783
20170710	11	23990.0	524173.6479744562
20170710	12	24862.0	524324.0179573513
20170710	13	21622.0	524017.55919603526
20170710	14	15257.0	523695.9193413674
20170710	15	19612.5	524306.534351145
20170710	16	23311.5	524828.1441478865
20170710	17	23927.0	525516.9555796316
20170710	18	22129.0	526712.4471086037
20170710	19	30739.0	526473.7465421853
20170710	20	13952.5	526673.2697362017
20170710	21	16016.5	526755.7064957429
20170710	22	13047.5	525601.5293860608
20170710	23	18064.0	525201.6766651284
20170710	24	21246.0	524769.12
20170710	25	49961.0	525687.8433561503
20170710	26	117129.0	526608.4138788282
20170711	1	39084.0	524330.2067297118
20170711	2	36908.0	525103.5426731079
20170711	3	126809.0	524723.9256520707
20170711	4	119122.0	525013.3282208589
20170711	5	39489.5	523407.7544269313
20170711	6	35703.5	522485.7983471074
20170711	7	36835.0	523099.2379339543
20170711	8	67128.0	520479.17765851
20170711	9	31697.0	519457.7987169206
20170711	10	27565.5	519507.62379387126
20170711	11	23054.5	518452.08153890324
20170711	12	28400.5	518978.79458794586
20170711	13	15584.0	518843.2581349413
20170711	14	16355.5	518650.5880404174
20170711	15	16632.0	518968.1380010147
20170711	16	15670.0	518636.83929524827
20170711	17	29619.0	518199.615701345
20170711	18	22936.5	519794.4450507476
20170711	19	19670.5	519796.349131863
20170711	20	18870.0	519529.9412915851
20170711	21	20402.0	519327.4164078202
20170711	22	65486.5	517754.75035312906
20170711	23	42606.0	516415.7616630745
20170711	24	63684.0	515637.16056515573
20170711	25	45477.5	516499.847840915
20170711	26	142594.0	516114.1552511416
20170712	1	194366.0	528505.8145313587
20170712	2	71628.0	527325.4360633014
20170712	3	105273.0	527172.6642967825
20170712	4	133971.0	530444.0665649299
20170712	5	97338.0	530568.258519004
20170712	6	77916.0	531499.0226781857
20170712	7	85580.0	532082.9713362938
20170712	8	75459.0	532731.0293066476
20170712	9	74751.0	533381.8551342706
20170712	10	42945.0	534460.62898368
20170712	11	51934.0	534464.0838529919
20170712	12	58672.0	534220.352074148
20170712	13	40753.5	535000.2214411248
20170712	14	35005.5	535133.5288072063
20170712	15	43365.5	534982.4195760874
20170712	16	26607.5	534359.7467237903
20170712	17	29169.5	533952.8358399185
