date	bin	turnover	price
20010110	24	0.120462	131.23438
20010110	25	0.327663	131.40625
20010110	26	0.40496	131.90625
20010111	1	0.346872	131.625
20010111	2	0.174204	132
20010111	3	0.152858	131.71875
20010111	4	0.05856	132.3125
20010111	5	0.521074	132.59375
20010111	6	0.267496	132.17188
20010111	7	0.064112	132.1875
20010111	8	0.194817	132.32812
20010111	9	0.044303	132.48438
20010111	10	0.140541	132.5
20010111	11	0.057622	132.60938
20010111	12	0.150781	132.5
20010111	13	0.096037	132.73438
20010111	14	0.189597	132.375
20010111	15	0.11618	132.3125
20010111	16	0.07924	132.5
20010111	17	0.087673	132.5
20010111	18	0.068865	132.5
20010111	19	0.046245	132.64062
20010111	20	0.127827	132.92188
20010111	21	0.066322	132.95312
20010111	22	0.148704	132.9375
20010111	23	0.235172	133.25
20010111	24	0.131642	133.1875
20010111	25	0.261674	133
20010111	26	0.461646	132.40625
20010112	1	0.306046	132.45312
20010112	2	0.218842	132.01562
20010112	3	0.185446	131.96875
20010112	4	0.193615	132.26562
20010112	5	0.207531	132.8125
20010112	6	0.179626	132.85938
20010112	7	0.111161	133.01562
20010112	8	0.138867	133.5
20010112	9	0.201978	133.0625
20010112	10	0.083255	132.875
20010112	11	0.101858	132.78125
20010112	12	0.100789	132.29688
20010112	13	0.277538	132
20010112	14	0.260534	132.1875
20010112	15	0.090079	131.75
20010112	16	0.027171	131.75
20010112	17	0.061771	132.15625
20010112	18	0.07991	132.125
20010112	19	0.107215	131.75
20010112	20	0.079372	131.3125
20010112	21	0.104603	131.79688
20010112	22	0.246415	132
20010112	23	0.10728	131.70312
20010112	24	0.082853	131.8125
20010112	25	0.106277	132.0625
20010112	26	0.988541	132.34375
20010115	1	.	.
20010115	2	.	.
20010115	3	.	.
20010115	4	.	.
20010115	5	.	.
20010115	6	.	.
20010115	7	.	.
20010115	8	.	.
20010115	9	.	.
20010115	10	.	.
20010115	11	.	.
20010115	12	.	.
20010115	13	.	.
20010115	14	.	.
20010115	15	.	.
20010115	16	.	.
20010115	17	.	.
20010115	18	.	.
20010115	19	.	.
20010115	20	.	.
20010115	21	.	.
20010115	22	.	.
20010115	23	.	.
20010115	24	.	.
20010115	25	.	.
20010115	26	.	.
20010116	1	0.452076	131.875
20010116	2	0.231624	131.92188
20010116	3	0.228681	132.25
20010116	4	0.059296	132
20010116	5	0.073013	132.0625
20010116	6	0.131039	131.9375
20010116	7	0.050126	132
20010116	8	0.13211	132.0625
20010116	9	0.074889	131.98438
20010116	10	0.048588	131.9375
20010116	11	0.057688	131.82812
20010116	12	0.05528	131.73438
