,symbol,date,value
0,A,20170720,2580.1558629102265
1,A,20170721,2634.980512577415
2,A,20170724,3396.631690225488
3,A,20170725,1582.1855674834565
4,A,20170726,1486.5538972710215
5,A,20170727,1184.4303772294688
6,A,20170728,2502.1977149159516
7,A,20170731,3068.6981047099575
8,A,20170801,1112.2529315797271
9,A,20170802,1624.189466764809
10,A,20170803,2821.9475831136097
11,A,20170804,1741.432567924437
12,A,20170807,1600.4234607860255
13,A,20170808,1534.6354328007947
14,A,20170809,1260.1879810550815
15,A,20170810,2558.1821092891364
16,A,20170811,1474.8679347818613
17,A,20170814,1480.5323678172074
18,A,20170815,1728.8177153307402
19,A,20170816,3533.6825788098213
20,A,20170817,1657.1894565263474
21,A,20170818,1444.317190055673
22,A,20170821,1440.3333885657657
23,A,20170822,1621.1749753903837
24,A,20170823,1383.9577725194022
25,A,20170824,1971.8714296375886
26,A,20170825,6265.643878628108
27,A,20170828,1626.4553206163287
28,A,20170829,2272.677768760246
29,A,20170830,3101.422208004
30,A,20170831,2419.121983958273
31,A,20170901,1144.3308222590388
32,A,20170905,1460.822781369578
33,A,20170906,15282.304502564815
34,A,20170907,1880.8239287249683
35,A,20170908,2684.350523258205
36,A,20170911,2217.5463266230195
37,A,20170912,1956.7972982920485
38,A,20170913,2611.195653409349
39,A,20170914,3385.790460579217
40,A,20170915,1834.0680586984263
41,A,20170918,9354.175324340426
42,A,20170919,2454.892254497499
43,A,20170920,4119.405654578862
44,A,20170921,4876.542520943821
45,A,20170922,4420.443648396869
46,A,20170925,4618.199013827813
47,A,20170926,1393.8960196372886
48,A,20170927,1664.8163713404224
49,A,20170928,3395.932732449866
50,A,20170929,2384.8206956679883
51,A,20171002,1668.3735703750642
52,A,20171003,1594.1516036348125
53,A,20171004,2794.891766952285
54,A,20171005,1646.209431817891
55,A,20171006,1647.643395726159
56,A,20171009,1314.0807248648925
57,A,20171010,3158.4864177154054
58,A,20171011,1687.6338229287112
59,A,20171012,1167.953941522059
60,A,20171013,3245.304382057027
61,A,20171016,2366.093654387541
62,A,20171017,2307.3151662682544
63,A,20171018,2922.079053494097
64,A,20171019,3300.084369660772
65,A,20171020,2069.073104093673
66,A,20171023,3774.5250992510364
67,A,20171024,2909.0597573809014
68,A,20171025,1327.5150220417283
69,A,20171026,1994.1733637414268
70,A,20171027,3323.0171812531303
71,A,20171030,7475.977997814108
72,A,20171031,1731.4605760528275
73,A,20171101,1517.0523891744733
74,A,20171102,888.7729569038651
75,A,20171103,2016.3769545554603
76,A,20171106,3421.562993029657
77,A,20171107,2408.365232455022
78,A,20171108,2185.690656700684
79,A,20171109,731.1914164675231
80,A,20171110,3791.7237233613005
81,A,20171113,1167.184941128837
82,A,20171114,1006.3488483202984
83,A,20171115,4246.254277471048
84,A,20171116,970.7657664704949
85,A,20171117,3568.461427650061
86,A,20171120,2988.4944348044237
87,A,20171121,2509.903993157701
88,A,20171122,2160.331875125808
89,A,20171127,1780.657578052241
90,A,20171128,1987.4775806565942
91,A,20171129,2312.910596746019
92,A,20171130,1279.598629389335
93,A,20171201,1343.633841351682
94,A,20171204,4212.031075167422
95,A,20171205,1621.7402152235265
96,A,20171206,5750.954144648034
97,A,20171207,1227.6382536609437
98,A,20171208,1107.852925640401
99,A,20171211,2066.7837406406125
100,A,20171212,4084.959772350698
101,A,20171213,3193.640604108463
102,A,20171214,1762.993065311459
103,A,20171215,1633.1776607450936
104,A,20171218,1604.5373207381822
105,A,20171219,1343.4640670472409
106,A,20171220,2070.9795612515327
107,A,20171221,1988.2326159937234
108,A,20171222,1814.8824221503075
109,A,20171226,2848.059939668339
110,A,20171227,1566.1235163103543
111,A,20171228,12465.303915078546
112,AAL,20170720,4217.558655150769
113,AAL,20170721,1223.4023369809095
114,AAL,20170724,1636.1138281020906
115,AAL,20170725,3401.9651799220183
116,AAL,20170726,3210.22720668203
117,AAL,20170727,1964.647084971559
118,AAL,20170728,3995.34340881446
119,AAL,20170731,2869.247862641105
120,AAL,20170801,4568.852355161189
121,AAL,20170802,29573.81606146336
122,AAL,20170803,3118.576622675615
123,AAL,20170804,3422.68416426861
124,AAL,20170807,2421.595378530269
125,AAL,20170808,1740.7987729895117
126,AAL,20170809,4092.170666128411
127,AAL,20170810,2697.599845539874
128,AAL,20170811,20598.35888291202
129,AAL,20170814,7682.568214932742
130,AAL,20170815,928.1316894084952
131,AAL,20170816,4576.851766226281
132,AAL,20170817,3312.338779957121
133,AAL,20170818,2900.867447563326
134,AAL,20170821,4089.5340238787326
135,AAL,20170822,963.7907572479928
136,AAL,20170823,7826.011984907557
137,AAL,20170824,6112.291547974931
138,AAL,20170825,3471.5907988451518
139,AAL,20170828,8214.467464132436
140,AAL,20170829,2141.6430617373962
141,AAL,20170830,2538.7098334878174
142,AAL,20170831,1749.9429517264389
143,AAL,20170901,2431.7860792963843
144,AAL,20170905,1973.7240784738049
145,AAL,20170906,2650.821611639181
146,AAL,20170907,2308.6812859961965
147,AAL,20170908,1325.1494066207085
148,AAL,20170911,2480.095369899868
149,AAL,20170912,1525.8525892765442
150,AAL,20170913,2974.442815891368
151,AAL,20170914,1888.0221907811194
152,AAL,20170915,1132.279491219811
153,AAL,20170918,4137.828770071633
154,AAL,20170919,5474.842649843155
155,AAL,20170920,2608.724324054223
156,AAL,20170921,2303.318115946499
157,AAL,20170922,1157.0824141566175
158,AAL,20170925,6566.870393635016
159,AAL,20170926,1283.9478131057972
160,AAL,20170927,2279.558256205002
161,AAL,20170928,4028.688637340412
162,AAL,20170929,1653.3326742698248
163,AAL,20171002,1237.5374279532766
164,AAL,20171003,1685.8882029018546
165,AAL,20171004,1537.3596689441865
166,AAL,20171005,1291.5405393334247
167,AAL,20171006,2550.912649734041
168,AAL,20171009,3786.6848275545376
169,AAL,20171010,1912.2994876602045
170,AAL,20171011,3661.684855164368
171,AAL,20171012,2477.042920178162
172,AAL,20171013,1152.7494387524914
173,AAL,20171016,2464.9597509709547
174,AAL,20171017,2394.907248768412
175,AAL,20171018,1488.2520447521615
176,AAL,20171019,2736.2506573507553
177,AAL,20171020,1560.516516569825
